Nr.,Name,Wahlberechtigte,abgegeb. Stimmen,Wahlbet.,ungültige,gültige,SPÖ,ÖVP,FPÖ,BZÖ,GRÜNE,FRANK,NEOS,PIRAT,KPÖ,CPÖ,WANDL
41221,Pattigham                     ,729,537,73.66,14,523,70,193,145,24,39,21,18,6,4,3,0
41222,Peterskirchen                 ,547,410,74.95,9,401,32,200,94,15,28,14,7,2,4,5,0
41223,Pramet                        ,819,626,76.43,8,618,122,201,180,21,46,31,15,1,1,0,0
41224,Reichersberg                  ,1128,791,70.12,22,769,131,250,220,42,56,28,30,3,4,2,3
41225,Ried im Innkreis              ,8460,5159,60.98,111,5048,1249,1118,1261,186,620,259,238,51,43,13,10
41226,St.Georgen b. Obernberg am Inn,462,338,73.16,6,332,33,168,59,11,37,14,7,3,0,0,0
41227,St.Marienkirchen am Hausruck  ,644,496,77.02,14,482,44,194,140,11,42,18,14,8,2,8,1
41228,St.Martin im Innkreis         ,1290,851,65.97,17,834,161,188,265,34,113,37,19,12,3,2,0
41229,Schildorn                     ,920,587,63.8,23,564,146,200,119,11,26,38,18,2,1,2,1
41230,Senftenbach                   ,594,428,72.05,16,412,71,137,117,12,36,20,11,3,3,0,2
41231,Taiskirchen im Innkreis       ,1972,1416,71.81,30,1386,235,534,289,67,132,67,30,8,9,9,6
41232,Tumeltsham                    ,1246,851,68.3,29,822,97,235,259,40,119,33,27,6,2,4,0
41233,Utzenaich                     ,1216,871,71.63,24,847,156,290,212,33,67,51,26,9,2,1,0
41234,Waldzell                      ,1738,1203,69.22,38,1165,325,371,295,35,69,38,16,8,4,3,1
41235,Weilbach                      ,473,360,76.11,7,353,47,160,86,19,30,6,4,0,1,0,0
41236,Wippenham                     ,445,323,72.58,12,311,95,91,77,13,25,6,2,1,0,1,0
41299,Wahlkarten Ried im Innkreis              ,0,3918,0.0,108,3810,711,1195,749,127,617,165,147,38,28,17,16
41300,Bezirk Rohrbach                      ,46198,37217,80.56,1259,35958,7089,14863,6322,992,3481,1627,836,296,197,194,61
41301,Afiesl                        ,329,251,76.29,5,246,58,92,44,6,18,14,7,1,4,2,0
41302,Ahorn                         ,405,330,81.48,8,322,66,147,66,8,19,8,2,0,3,3,0
41303,Aigen im Mühlkreis            ,1552,1045,67.33,26,1019,224,374,200,42,92,55,20,7,2,3,0
41304,Altenfelden                   ,1760,1251,71.08,59,1192,268,399,271,41,90,63,39,8,5,4,4
41305,Arnreit                       ,894,652,72.93,28,624,84,324,103,25,49,17,13,7,2,0,0
41306,Atzesberg                     ,381,303,79.53,8,295,31,141,81,4,22,9,4,2,0,1,0
41307,Auberg                        ,436,342,78.44,9,333,39,162,58,10,32,16,8,1,0,3,4
41308,Berg bei Rohrbach             ,2117,1577,74.49,75,1502,274,640,249,52,150,66,35,20,6,10,0
41309,Haslach an der Mühl           ,2116,1494,70.6,49,1445,469,404,217,47,163,73,34,25,8,3,2
41310,Helfenberg                    ,797,627,78.67,15,612,120,263,82,23,47,42,17,7,7,4,0
41311,Hörbich                       ,334,270,80.84,7,263,26,134,59,11,11,16,4,1,0,0,1
41312,Hofkirchen im Mühlkreis       ,1227,817,66.59,30,787,161,316,149,24,92,20,21,2,1,0,1
41313,Julbach                       ,1315,942,71.63,25,917,284,307,179,23,42,42,20,5,6,7,2
41314,Kirchberg ob der Donau        ,865,656,75.84,14,642,154,251,136,7,40,23,23,3,3,2,0
41315,Klaffer am Hochficht          ,1070,797,74.49,10,787,203,251,239,18,28,32,2,2,7,1,4
41316,Kleinzell im Mühlkreis        ,1224,875,71.49,20,855,201,322,131,23,109,28,25,8,2,2,4
41317,Kollerschlag                  ,1189,887,74.6,31,856,155,395,189,13,33,38,7,4,8,14,0
41318,Lembach im Mühlkreis          ,1295,870,67.18,36,834,175,337,165,22,58,31,16,10,3,16,1
41319,Lichtenau im Mühlkreis        ,442,318,71.95,14,304,60,141,63,9,14,9,4,1,1,2,0
41320,Nebelberg                     ,507,402,79.29,22,380,71,190,51,13,32,9,7,2,2,0,3
41321,Neufelden                     ,1002,670,66.87,11,659,124,271,92,9,103,23,22,5,3,6,1
41322,Niederkappel                  ,811,628,77.44,35,593,96,293,106,15,24,26,24,1,5,1,2
41323,Niederwaldkirchen             ,1422,1050,73.84,28,1022,175,478,150,34,113,47,17,6,0,2,0
41324,Oberkappel                    ,532,342,64.29,9,333,49,186,56,5,12,15,2,3,2,3,0
41325,Oepping                       ,1279,926,72.4,30,896,155,365,191,25,87,42,15,6,5,3,2
41326,Peilstein im Mühlviertel      ,1288,983,76.32,53,930,180,422,174,22,65,40,13,4,2,5,3
41327,Pfarrkirchen im Mühlkreis     ,1168,880,75.34,29,851,112,442,154,32,53,22,26,1,4,5,0
41328,Putzleinsdorf                 ,1243,906,72.89,33,873,116,379,153,25,64,68,35,15,7,9,2
41329,Neustift im Mühlkreis         ,1163,847,72.83,26,821,168,424,108,15,52,26,11,3,9,1,4
41330,Rohrbach in Oberösterreich    ,1994,1400,70.21,67,1333,258,510,187,38,215,59,29,11,11,13,2
41331,St.Johann am Wimberg          ,816,605,74.14,23,582,72,224,145,29,52,37,16,2,1,2,2
41332,St.Martin im Mühlkreis        ,2908,2118,72.83,74,2044,413,749,355,53,230,135,75,14,6,11,3
41333,St.Oswald bei Haslach         ,420,334,79.52,9,325,74,132,62,9,21,18,5,1,1,1,1
41334,St.Peter am Wimberg           ,1436,1093,76.11,44,1049,178,513,139,32,98,48,25,10,3,1,2
41335,St.Stefan am Walde            ,672,542,80.65,19,523,98,239,70,13,61,20,4,5,5,8,0
41336,St.Ulrich im Mühlkreis        ,502,396,78.88,17,379,49,175,56,6,58,16,10,5,1,1,2
41337,St.Veit im Mühlkreis          ,984,744,75.61,20,724,130,312,120,17,73,32,30,3,4,2,1
41338,Sarleinsbach                  ,1876,1419,75.64,65,1354,214,657,227,24,129,42,24,13,9,15,0
41339,Schlägl                       ,1067,733,68.7,6,727,170,266,137,22,64,35,13,12,3,5,0
41340,Schönegg                      ,442,339,76.7,4,335,90,132,52,12,23,12,9,3,1,1,0
41341,Schwarzenberg am Böhmerwald   ,501,356,71.06,10,346,71,144,91,10,14,12,4,0,0,0,0
41342,Ulrichsberg                   ,2417,1738,71.91,72,1666,341,655,341,52,134,82,27,13,14,5,2
41399,Wahlkarten Rohrbach                      ,0,3462,0.0,84,3378,633,1305,424,72,595,159,92,44,31,17,6
41400,Bezirk Schärding                     ,44610,35233,78.98,876,34357,6765,11246,8704,1951,2752,1548,723,220,180,127,141
41401,Altschwendt                   ,533,416,78.05,5,411,85,130,98,16,39,27,12,4,0,0,0
41402,Andorf                        ,4056,3020,74.46,67,2953,781,769,850,113,208,122,62,17,12,11,8
41403,Brunnenthal                   ,1546,1079,69.79,36,1043,209,304,288,38,96,52,18,9,15,2,12
41404,Diersbach                     ,1289,925,71.76,17,908,157,300,229,65,69,49,21,7,7,1,3
41405,Dorf an der Pram              ,857,626,73.05,16,610,108,263,132,20,42,27,15,0,2,0,1
41406,Eggerding                     ,1028,752,73.15,17,735,103,283,190,38,53,36,22,4,3,3,0
41407,Engelhartszell                ,816,512,62.75,13,499,88,184,103,25,46,25,14,7,4,1,2
41408,Enzenkirchen                  ,1443,983,68.12,27,956,230,270,288,50,36,53,15,5,5,0,4
41409,Esternberg                    ,2355,1653,70.19,54,1599,191,606,433,149,97,64,35,9,4,5,6
41410,Freinberg                     ,1007,678,67.33,9,669,160,249,155,23,35,29,10,4,3,1,0
41411,Kopfing im Innkreis           ,1604,1143,71.26,35,1108,146,386,324,55,64,70,23,9,10,21,0
41412,Mayrhof                       ,227,187,82.38,7,180,15,100,41,4,8,2,2,2,0,1,5
41413,Münzkirchen                   ,2087,1513,72.5,45,1468,289,503,375,94,94,45,26,3,15,7,17
41414,Raab                          ,1819,1260,69.27,27,1233,199,356,414,49,104,61,29,8,8,1,4
41415,Rainbach im Innkreis          ,1190,901,75.71,21,880,146,320,238,53,58,29,18,5,2,7,4
41416,Riedau                        ,1565,1053,67.28,37,1016,277,241,282,33,82,57,31,8,2,2,1
41417,St.Aegidi                     ,1287,999,77.62,31,968,120,426,257,41,53,44,7,5,4,4,7
41418,St.Florian am Inn             ,2375,1656,69.73,21,1635,423,423,474,53,122,66,43,10,12,7,2
41419,St.Marienkirchen bei Schärding,1457,962,66.03,28,934,147,321,287,42,69,38,17,4,3,2,4
41420,St.Roman                      ,1434,1097,76.5,16,1081,70,359,234,339,25,33,10,2,3,4,2
41421,St.Willibald                  ,932,710,76.18,27,683,137,215,195,42,51,25,9,4,5,0,0
41422,Schärding                     ,3792,2288,60.34,54,2234,648,482,562,84,260,95,68,14,11,5,5
41423,Schardenberg                  ,1721,1260,73.21,22,1238,166,543,300,77,71,47,18,6,1,5,4
41424,Sigharting                    ,640,512,80.0,14,498,47,210,129,50,28,15,12,3,2,1,1
41425,Suben                         ,962,660,68.61,13,647,158,203,113,75,48,25,14,3,4,1,3
41426,Taufkirchen an der Pram       ,2311,1602,69.32,60,1542,404,440,409,46,106,89,19,19,2,2,6
41427,Vichtenstein                  ,482,335,69.5,12,323,45,122,92,24,9,15,5,0,10,0,1
41428,Waldkirchen am Wesen          ,1030,780,75.73,26,754,167,307,160,13,45,38,12,5,2,4,1
41429,Wernstein am Inn              ,1197,871,72.77,20,851,210,299,183,32,56,36,14,6,4,4,7
41430,Zell an der Pram              ,1568,1064,67.86,31,1033,122,403,227,51,112,60,37,8,7,2,4
41499,Wahlkarten Schärding                     ,0,3736,0.0,68,3668,717,1229,642,157,566,174,85,30,18,23,27
41500,Bezirk Steyr-Land                    ,47537,38947,81.93,960,37987,10296,10312,7323,1774,4375,2034,1190,258,209,154,62
41501,Adlwang                       ,1365,1012,74.14,27,985,123,379,236,64,94,44,23,10,3,9,0
41502,Aschach an der Steyr          ,1794,1363,75.98,40,1323,269,395,241,55,204,68,62,12,10,3,4
41503,Bad Hall                      ,3860,2514,65.13,67,2447,592,605,509,182,284,131,90,22,18,10,4
41504,Dietach                       ,2333,1771,75.91,37,1734,477,454,310,48,274,91,50,13,8,6,3
41505,Gaflenz                       ,1499,1105,73.72,41,1064,219,404,207,48,84,61,22,7,5,5,2
41506,Garsten                       ,5250,3836,73.07,93,3743,977,946,729,138,545,199,146,23,26,8,6
41507,Großraming                    ,2266,1764,77.85,41,1723,514,539,269,67,164,80,51,8,19,10,2
41508,Laussa                        ,1022,801,78.38,31,770,176,216,154,67,61,53,29,4,5,4,1
41509,Losenstein                    ,1330,933,70.15,15,918,293,231,186,39,80,43,36,4,6,0,0
41510,Maria Neustift                ,1311,1045,79.71,38,1007,133,446,228,61,56,42,22,9,3,7,0
41511,Pfarrkirchen bei Bad Hall     ,1759,1246,70.84,32,1214,326,317,276,55,131,60,34,9,3,1,2
41512,Reichraming                   ,1472,1130,76.77,14,1116,533,145,213,49,73,60,28,7,5,2,1
41513,Rohr im Kremstal              ,971,736,75.8,18,718,191,225,146,29,55,28,34,5,3,2,0
41514,St.Ulrich bei Steyr           ,2476,1824,73.67,49,1775,401,547,348,77,220,102,57,11,3,5,4
41515,Schiedlberg                   ,1000,753,75.3,6,747,81,440,87,27,43,39,18,5,4,3,0
41516,Sierning                      ,7330,5321,72.59,134,5187,1839,948,1179,202,487,312,134,37,22,16,11
41517,Ternberg                      ,2746,2036,74.14,64,1972,552,509,384,141,214,92,45,9,13,10,3
41518,Waldneukirchen                ,1787,1363,76.27,42,1321,282,449,270,70,120,56,40,7,9,17,1
41521,Wolfern                       ,2471,1828,73.98,32,1796,465,556,341,74,166,118,55,7,8,5,1
41522,Weyer  ,3495,2432,69.59,38,2394,812,465,492,122,273,127,61,19,11,9,3
41599,Wahlkarten Steyr-Land                    ,0,4134,0.0,101,4033,1041,1096,518,159,747,228,153,30,25,22,14
41600,Bezirk Urfahr-Umgebung               ,66789,55639,83.31,1589,54050,12331,16425,8756,1831,8660,2630,2324,412,407,172,102
41601,Alberndorf in der Riedmark    ,3146,2395,76.13,80,2315,461,745,518,64,286,121,70,14,15,12,9
41602,Altenberg bei Linz            ,3557,2694,75.74,77,2617,460,1086,380,98,355,110,80,25,12,8,3
41603,Bad Leonfelden                ,3269,2398,73.36,91,2307,371,889,461,69,268,136,59,17,18,16,3
41604,Eidenberg                     ,1662,1259,75.75,53,1206,176,483,185,57,148,62,60,19,8,5,3
41605,Engerwitzdorf                 ,6978,5149,73.79,173,4976,1315,1056,1002,200,823,255,226,33,38,24,4
41606,Feldkirchen an der Donau      ,4317,3415,79.11,101,3314,947,833,564,209,407,180,126,21,19,4,4
41607,Gallneukirchen                ,4980,3474,69.76,81,3393,996,711,494,94,739,136,158,23,25,14,3
41608,Goldwörth                     ,761,569,74.77,28,541,109,183,80,24,71,36,27,2,8,0,1
41609,Gramastetten                  ,3976,2815,70.8,71,2744,534,1000,414,79,398,135,132,18,20,8,6
41610,Haibach im Mühlkreis          ,708,549,77.54,22,527,113,206,96,15,62,18,10,2,3,1,1
41611,Hellmonsödt                   ,1789,1250,69.87,25,1225,254,365,246,30,207,60,31,10,15,7,0
41612,Herzogsdorf                   ,2019,1464,72.51,68,1396,256,577,259,50,136,78,23,3,10,1,3
41613,Kirchschlag bei Linz          ,1637,1199,73.24,26,1173,216,371,214,38,189,62,52,13,7,4,7
41614,Lichtenberg                   ,2150,1668,77.58,40,1628,332,516,228,40,312,59,120,8,6,5,2
41615,Oberneukirchen                ,2600,1883,72.42,73,1810,343,685,288,66,248,92,56,17,9,2,4
41616,Ottenschlag im Mühlkreis      ,423,326,77.07,17,309,73,111,61,12,20,19,7,2,3,0,1
41617,Ottensheim                    ,3594,2548,70.9,54,2494,533,617,355,86,580,107,151,24,31,5,5
41618,Puchenau                      ,3746,2639,70.45,42,2597,606,627,359,75,557,134,181,24,22,7,5
41619,Reichenau im Mühlkreis        ,1030,758,73.59,24,734,171,251,124,20,98,45,18,3,1,2,1
41620,Reichenthal                   ,1180,901,76.36,29,872,197,344,133,30,88,35,23,9,5,2,6
41621,St.Gotthard im Mühlkreis      ,1031,783,75.95,25,758,182,237,135,24,106,36,29,5,3,0,1
41622,Schenkenfelden                ,1267,993,78.37,39,954,175,395,171,34,78,56,27,5,7,3,3
41623,Sonnberg im Mühlkreis         ,730,546,74.79,17,529,116,196,98,8,57,28,16,2,6,1,1
41624,Steyregg                      ,3928,2787,70.95,68,2719,908,540,499,101,370,120,126,19,25,6,5
41625,Vorderweißenbach              ,1668,1273,76.32,32,1241,204,594,211,40,100,32,30,11,4,14,1
41626,Walding                       ,3272,2429,74.24,61,2368,735,597,331,77,338,129,116,18,20,4,3
41627,Zwettl an der Rodl            ,1371,1055,76.95,27,1028,179,392,155,28,154,60,43,5,7,3,2
41699,Wahlkarten Urfahr-Umgebung               ,0,6420,0.0,145,6275,1369,1818,695,163,1465,289,327,60,60,14,15
41700,Bezirk Vöcklabruck                   ,101803,80295,78.87,2246,78049,19881,20195,18032,2737,9170,3812,2587,697,466,353,119
41701,Ampflwang im Hausruckwald     ,2756,2003,72.68,61,1942,826,283,475,71,127,80,40,16,9,13,2
41702,Attersee                      ,1304,936,71.78,24,912,226,259,153,41,129,46,34,11,12,0,1
41703,Attnang-Puchheim              ,6177,4169,67.49,99,4070,1531,526,1060,123,412,189,129,51,29,17,3
41704,Atzbach                       ,926,716,77.32,21,695,79,292,163,31,67,34,16,3,2,8,0
41705,Aurach am Hongar              ,1287,1007,78.24,31,976,261,227,283,22,81,64,21,6,6,4,1
41706,Berg im Attergau              ,781,588,75.29,20,568,74,273,126,15,41,17,7,5,5,3,2
41707,Desselbrunn                   ,1389,1037,74.66,29,1008,254,305,242,31,87,49,20,7,8,5,0
41708,Fornach                       ,748,583,77.94,31,552,65,247,135,19,46,27,8,0,1,3,1
41709,Frankenburg am Hausruck       ,3911,3054,78.09,101,2953,916,667,777,107,216,129,83,28,19,8,3
41710,Frankenmarkt                  ,2767,1990,71.92,77,1913,446,513,471,89,178,112,64,21,11,5,3
41711,Gampern                       ,2133,1653,77.5,52,1601,365,472,362,81,187,59,43,17,6,7,2
41712,Innerschwand                  ,890,593,66.63,12,581,72,276,95,21,70,21,14,6,4,1,1
41713,Lenzing                       ,4021,2846,70.78,67,2779,1161,247,779,98,197,172,61,26,23,11,4
41714,Manning                       ,663,501,75.57,17,484,111,167,88,15,51,27,14,4,5,2,0
41715,Mondsee                       ,2443,1350,55.26,23,1327,254,381,260,51,203,81,67,14,7,7,2
41716,Neukirchen an der Vöckla      ,2067,1602,77.5,53,1549,297,496,376,59,173,61,43,12,5,24,3
41717,Niederthalheim                ,817,645,78.95,19,626,97,219,193,10,57,30,13,5,1,0,1
41718,Nußdorf am Attersee           ,895,614,68.6,20,594,88,210,146,28,43,52,14,5,2,6,0
41719,Oberhofen am Irrsee           ,1161,860,74.07,34,826,151,300,165,35,96,35,31,8,4,1,0
41720,Oberndorf bei Schwanenstadt   ,1137,810,71.24,28,782,224,165,188,35,94,37,31,4,2,1,1
41721,Oberwang                      ,1261,962,76.29,28,934,79,474,256,24,34,41,10,6,3,5,2
41722,Ottnang am Hausruck           ,3066,2179,71.07,86,2093,606,475,558,83,168,103,42,25,6,21,6
41723,Pfaffing                      ,1148,847,73.78,29,818,230,210,195,32,83,42,14,4,0,6,2
41724,Pilsbach                      ,508,411,80.91,10,401,102,150,56,11,37,11,24,4,0,5,1
41725,Pitzenberg                    ,417,315,75.54,8,307,53,105,75,8,40,17,7,1,0,1,0
41726,Pöndorf                       ,1846,1326,71.83,50,1276,308,384,359,40,71,71,15,15,9,2,2
41727,Puchkirchen am Trattberg      ,781,562,71.96,16,546,106,192,112,18,50,29,22,7,6,3,1
41728,Pühret                        ,492,358,72.76,14,344,72,124,84,8,26,22,2,3,1,2,0
41729,Redleiten                     ,391,294,75.19,12,282,75,72,76,10,18,17,12,1,0,0,1
41730,Redlham                       ,1174,840,71.55,21,819,244,213,175,26,90,35,20,7,1,8,0
41731,Regau                         ,4909,3612,73.58,126,3486,921,660,933,153,435,194,113,30,26,18,3
41732,Rüstorf                       ,1615,1157,71.64,29,1128,332,231,319,32,119,45,34,5,3,5,3
41733,Rutzenham                     ,211,168,79.62,8,160,11,67,30,2,33,9,2,4,2,0,0
41734,St.Georgen im Attergau        ,3075,2144,69.72,51,2093,360,527,654,105,212,96,72,20,22,23,2
41735,St.Lorenz                     ,1794,1218,67.89,28,1190,162,459,244,37,145,59,73,5,3,3,0
41736,Schlatt                       ,1045,721,69.0,26,695,150,214,169,26,65,35,23,4,4,2,3
41737,Schörfling am Attersee        ,2623,1801,68.66,40,1761,471,312,440,75,251,87,82,17,23,2,1
41738,Schwanenstadt                 ,2947,1978,67.12,45,1933,529,410,478,61,246,104,63,23,11,6,2
41739,Seewalchen am Attersee        ,4228,2990,70.72,79,2911,742,537,768,101,399,164,126,28,21,16,9
41740,Steinbach am Attersee         ,683,492,72.04,7,485,103,183,65,17,62,30,18,4,2,0,1
41741,Straß im Attergau             ,1123,818,72.84,37,781,125,292,214,20,64,29,18,11,5,0,3
41742,Tiefgraben                    ,2786,1785,64.07,51,1734,290,677,356,53,195,84,61,10,3,1,4
41743,Timelkam                      ,4543,3307,72.79,98,3209,1027,582,771,134,370,161,97,27,25,10,5
41744,Ungenach                      ,1165,889,76.31,26,863,121,331,175,32,107,50,29,13,3,2,0
41745,Unterach am Attersee          ,1127,731,64.86,10,721,203,227,115,26,78,31,34,4,1,1,1
41746,Vöcklabruck                   ,9173,5950,64.86,115,5835,1613,1204,1231,233,875,286,273,47,29,31,13
41747,Vöcklamarkt                   ,3679,2689,73.09,82,2607,661,742,643,67,257,120,76,14,17,7,3
41748,Weißenkirchen im Attergau     ,759,559,73.65,18,541,62,272,120,12,37,19,6,1,1,9,2
41749,Weyregg am Attersee           ,1267,859,67.8,15,844,200,266,169,30,103,37,30,5,1,2,1
41750,Wolfsegg am Hausruck          ,1571,1023,65.12,29,994,348,240,209,21,101,31,15,14,13,0,2
41751,Zell am Moos                  ,1179,833,70.65,25,808,118,323,137,23,108,35,51,7,2,3,1
41752,Zell am Pettenfirst           ,944,712,75.42,20,692,141,229,127,20,109,26,23,6,6,2,3
41799,Wahlkarten Vöcklabruck                   ,0,8208,0.0,188,8020,1818,2286,1182,215,1627,370,347,76,56,31,12
41800,Bezirk Wels-Land                     ,52848,42510,80.44,896,41614,10525,10022,10543,1547,4510,2290,1385,378,226,111,77
41801,Aichkirchen                   ,430,331,76.98,8,323,38,139,86,16,21,10,10,1,0,2,0
41802,Bachmanning                   ,506,361,71.34,3,358,93,111,89,7,26,12,9,2,2,6,1
41803,Bad Wimsbach-Neydharting      ,1939,1454,74.99,37,1417,332,477,307,70,129,55,27,11,4,3,2
41804,Buchkirchen                   ,3210,2313,72.06,49,2264,666,474,554,71,259,121,78,16,14,5,6
41805,Eberstalzell                  ,1850,1336,72.22,28,1308,153,483,337,59,132,75,39,16,6,8,0
41806,Edt bei Lambach               ,1625,1188,73.11,19,1169,306,282,314,53,93,74,30,6,9,0,2
41807,Fischlham                     ,1083,819,75.62,20,799,163,275,171,21,76,57,25,8,1,2,0
41808,Gunskirchen                   ,4493,3297,73.38,65,3232,853,707,906,132,300,161,111,21,19,6,16
41809,Holzhausen                    ,632,472,74.68,15,457,132,118,97,22,43,21,18,5,0,0,1
41810,Krenglbach                    ,2372,1805,76.1,38,1767,509,345,432,66,205,110,76,11,8,3,2
41811,Lambach                       ,2441,1516,62.11,22,1494,414,334,377,51,165,74,44,23,7,4,1
41812,Marchtrenk                    ,9378,6578,70.14,111,6467,2267,806,1814,252,580,410,201,74,38,14,11
41813,Neukirchen bei Lambach        ,713,511,71.67,14,497,89,193,102,33,30,16,23,2,8,0,1
41814,Offenhausen                   ,1269,938,73.92,27,911,153,284,272,23,86,50,28,5,8,2,0
41815,Pennewang                     ,732,540,73.77,16,524,57,232,114,17,58,28,11,3,0,4,0
41816,Pichl bei Wels                ,2173,1685,77.54,49,1636,364,455,418,70,181,72,53,8,6,5,4
41817,Sattledt                      ,1844,1329,72.07,20,1309,300,400,329,58,79,74,34,23,5,7,0
41818,Schleißheim                   ,951,717,75.39,23,694,141,174,170,26,100,46,22,9,2,3,1
41819,Sipbachzell                   ,1474,1106,75.03,27,1079,190,355,279,28,99,74,39,8,3,1,3
41820,Stadl-Paura                   ,3591,2192,61.04,63,2129,673,288,691,80,209,99,48,16,18,4,3
41821,Steinerkirchen an der Traun   ,1864,1441,77.31,39,1402,188,579,304,51,139,76,44,12,6,1,2
41822,Steinhaus                     ,1558,1177,75.55,29,1148,219,294,402,34,101,51,30,8,3,2,4
41823,Thalheim bei Wels             ,4238,2913,68.74,50,2863,643,648,630,131,465,140,149,26,19,7,5
41824,Weißkirchen an der Traun      ,2482,1839,74.09,25,1814,509,431,454,51,181,105,58,13,8,3,1
41899,Wahlkarten Wels-Land                     ,0,4652,0.0,99,4553,1073,1138,894,125,753,279,178,51,32,19,11
